Nombre,Cuenta,Departamento,Password
Juan Perez,jperez,Cuates,Admin123*
Carlos Ruiz,cruiz,Cuates,Admin123*
Luis Ortiz,lortiz,Cuates,Admin123*
Pedro Arce,parce,Cuates,Admin123*
Hugo Vera,hvera,Cuates,Admin123*
Maria Lopez,mlopez,No Cuates,Soporte456!
Ana Garcia,agarcia,No Cuates,Soporte456!
Elena Soto,esoto,No Cuates,Soporte456!
Rosa Meza,rmeza,No Cuates,Soporte456!
Sara Rios,srios,No Cuates,Soporte456!
jose perez,amen,Cuates,Admin123*
Pedrito sola,sola,No Cuates,Soporte456!
Sergio ariel,srgio,Cuates,Admin123*
Luis antonio,fora,Cuates,Admin123*
